DataGroup	Sample	Seq	GenName	Accession	ID	value	Compound	BACGroup	TotalReads	norm
Bac1	Bichat1	Conventional	pstA	P07654	PSTA_ECOLI	0.0	Arsenic (As)	Metal	14127290.0	0.0
Bac1	Bichat10	Conventional	pstA	P07654	PSTA_ECOLI	5.292355835221591	Arsenic (As)	Metal	15039883.0	0.35188809881177874
Bac1	Bichat11	Conventional	pstA	P07654	PSTA_ECOLI	6.8475027086325095	Arsenic (As)	Metal	13425077.0	0.5100531422376579
Bac1	Bichat13	Conventional	pstA	P07654	PSTA_ECOLI	2.254190847354137	Arsenic (As)	Metal	17903872.0	0.12590521465714996
Bac1	Bichat2	Conventional	pstA	P07654	PSTA_ECOLI	0.29642153065794297	Arsenic (As)	Metal	15128135.0	0.019594056415939108
Bac1	Bichat3	Conventional	pstA	P07654	PSTA_ECOLI	0.23213499630907677	Arsenic (As)	Metal	14488245.0	0.0160222992024967
Bac1	Bichat6	Conventional	pstA	P07654	PSTA_ECOLI	0.19244109257452194	Arsenic (As)	Metal	17476666.0	0.011011316035594085
Bac1	Bichat7	Conventional	pstA	P07654	PSTA_ECOLI	0.0	Arsenic (As)	Metal	16732926.0	0.0
Bac1	Bichat9	Conventional	pstA	P07654	PSTA_ECOLI	0.46005004293000357	Arsenic (As)	Metal	17058e3	0.02696975278051375
Bac1	BichatK1	SeqCap	pstA	P07654	PSTA_ECOLI	16.64254862967562	Arsenic (As)	Metal	16705789.0	0.9962144637212657
Bac1	BichatK10	SeqCap	pstA	P07654	PSTA_ECOLI	3477.7953672030526	Arsenic (As)	Metal	34798281.0	99.94158525253165
Bac1	BichatK11	SeqCap	pstA	P07654	PSTA_ECOLI	3181.380785258491	Arsenic (As)	Metal	35901508.0	88.61412688454455
Bac1	BichatK13	SeqCap	pstA	P07654	PSTA_ECOLI	1709.5280392009195	Arsenic (As)	Metal	26283052.0	65.04298051843139
Bac1	BichatK2	SeqCap	pstA	P07654	PSTA_ECOLI	115.11195523631582	Arsenic (As)	Metal	33589838.0	3.426987508433825
Bac1	BichatK3	SeqCap	pstA	P07654	PSTA_ECOLI	348.9120542284705	Arsenic (As)	Metal	17276637.0	20.195600233336528
Bac1	BichatK6	SeqCap	pstA	P07654	PSTA_ECOLI	96.09398434226514	Arsenic (As)	Metal	19191320.0	5.007158670808738
Bac1	BichatK7	SeqCap	pstA	P07654	PSTA_ECOLI	1.8860820268198835	Arsenic (As)	Metal	28530922.0	0.06610659223770908
Bac1	BichatK9	SeqCap	pstA	P07654	PSTA_ECOLI	1203.160305244919	Arsenic (As)	Metal	18038257.0	66.70047473239343
Bac1	postF266	SeqCap	pstA	P07654	PSTA_ECOLI	559.48513503153265	Arsenic (As)	Metal	14024345.0	39.893851372847195
Bac1	postPIG20	SeqCap	pstA	P07654	PSTA_ECOLI	2260.6633615102874	Arsenic (As)	Metal	22485364.0	100.53932689327543
Bac1	postPIG26	SeqCap	pstA	P07654	PSTA_ECOLI	477.2877609833734	Arsenic (As)	Metal	15756070.0	30.292310264131437
Bac1	postPIG29	SeqCap	pstA	P07654	PSTA_ECOLI	1405.158079706839	Arsenic (As)	Metal	26223850.0	53.58321069205471
Bac1	postPIG31	SeqCap	pstA	P07654	PSTA_ECOLI	682.6418796692099	Arsenic (As)	Metal	18055019.0	37.80898151750546
Bac1	postPIG528	SeqCap	pstA	P07654	PSTA_ECOLI	307.91828916357366	Arsenic (As)	Metal	13864257.0	22.20950528856856
Bac1	postPIG94	SeqCap	pstA	P07654	PSTA_ECOLI	307.5921826955808	Arsenic (As)	Metal	15351408.0	20.03674077945038
Bac1	postPIG96	SeqCap	pstA	P07654	PSTA_ECOLI	152.21629651108074	Arsenic (As)	Metal	12225935.0	12.450278568557803
Bac1	preF266	Conventional	pstA	P07654	PSTA_ECOLI	0.6305280160937071	Arsenic (As)	Metal	19557955.0	0.032238954230833804
Bac1	prePIG20	Conventional	pstA	P07654	PSTA_ECOLI	2.4980775642768043	Arsenic (As)	Metal	27375311.0	0.09125293825070349
Bac1	prePIG26	Conventional	pstA	P07654	PSTA_ECOLI	0.9726599202215709	Arsenic (As)	Metal	13831057.0	0.07032433748350331
Bac1	prePIG29	Conventional	pstA	P07654	PSTA_ECOLI	1.1834583963065097	Arsenic (As)	Metal	18945765.0	0.06246559040009784
Bac1	prePIG31	Conventional	pstA	P07654	PSTA_ECOLI	0.9650614209533761	Arsenic (As)	Metal	12778294.0	0.07552349483846404
Bac1	prePIG528	Conventional	pstA	P07654	PSTA_ECOLI	0.28468927204291067	Arsenic (As)	Metal	19689471.0	0.014458959920401655
Bac1	prePIG94	Conventional	pstA	P07654	PSTA_ECOLI	0.21039616032786287	Arsenic (As)	Metal	15985219.0	0.013161919165940915
Bac1	prePIG96	Conventional	pstA	P07654	PSTA_ECOLI	0.24134073707467124	Arsenic (As)	Metal	9290402.0	0.025977426711424462
Bac10	Bichat1	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Rhodamine 6G	Xanthene	14127290.0	0.0
Bac10	Bichat1	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Tetraphenylphosphonium (TPP)	Quaternary Ammonium Compounds (QACs)	14127290.0	0.0
Bac10	Bichat1	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Ethidium Bromide	Phenanthridine	14127290.0	0.0
Bac10	Bichat1	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Sodium Cholate	Acid	14127290.0	0.0
Bac10	Bichat1	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Sodium Deoxycholate (SDC)	Acid	14127290.0	0.0
Bac10	Bichat10	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.021324528202779237	Rhodamine 6G	Xanthene	15039883.0	0.001417865298737978
Bac10	Bichat10	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.021324528202779237	Tetraphenylphosphonium (TPP)	Quaternary Ammonium Compounds (QACs)	15039883.0	0.001417865298737978
Bac10	Bichat10	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.021324528202779237	Ethidium Bromide	Phenanthridine	15039883.0	0.001417865298737978
Bac10	Bichat10	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.021324528202779237	Sodium Cholate	Acid	15039883.0	0.001417865298737978
Bac10	Bichat10	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.021324528202779237	Sodium Deoxycholate (SDC)	Acid	15039883.0	0.001417865298737978
Bac10	Bichat11	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Rhodamine 6G	Xanthene	13425077.0	0.0
Bac10	Bichat11	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Tetraphenylphosphonium (TPP)	Quaternary Ammonium Compounds (QACs)	13425077.0	0.0
Bac10	Bichat11	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Ethidium Bromide	Phenanthridine	13425077.0	0.0
Bac10	Bichat11	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Sodium Cholate	Acid	13425077.0	0.0
Bac10	Bichat11	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Sodium Deoxycholate (SDC)	Acid	13425077.0	0.0
Bac10	Bichat13	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Rhodamine 6G	Xanthene	17903872.0	0.0
Bac10	Bichat13	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Tetraphenylphosphonium (TPP)	Quaternary Ammonium Compounds (QACs)	17903872.0	0.0
Bac10	Bichat13	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Ethidium Bromide	Phenanthridine	17903872.0	0.0
Bac10	Bichat13	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Sodium Cholate	Acid	17903872.0	0.0
Bac10	Bichat13	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Sodium Deoxycholate (SDC)	Acid	17903872.0	0.0
Bac10	Bichat2	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Rhodamine 6G	Xanthene	15128135.0	0.0
Bac10	Bichat2	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Tetraphenylphosphonium (TPP)	Quaternary Ammonium Compounds (QACs)	15128135.0	0.0
Bac10	Bichat2	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Ethidium Bromide	Phenanthridine	15128135.0	0.0
Bac10	Bichat2	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Sodium Cholate	Acid	15128135.0	0.0
Bac10	Bichat2	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Sodium Deoxycholate (SDC)	Acid	15128135.0	0.0
Bac10	Bichat3	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Rhodamine 6G	Xanthene	14488245.0	0.0
Bac10	Bichat3	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Tetraphenylphosphonium (TPP)	Quaternary Ammonium Compounds (QACs)	14488245.0	0.0
Bac10	Bichat3	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Ethidium Bromide	Phenanthridine	14488245.0	0.0
Bac10	Bichat3	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Sodium Cholate	Acid	14488245.0	0.0
Bac10	Bichat3	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Sodium Deoxycholate (SDC)	Acid	14488245.0	0.0
Bac10	Bichat6	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Rhodamine 6G	Xanthene	17476666.0	0.0
Bac10	Bichat6	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Tetraphenylphosphonium (TPP)	Quaternary Ammonium Compounds (QACs)	17476666.0	0.0
Bac10	Bichat6	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Ethidium Bromide	Phenanthridine	17476666.0	0.0
Bac10	Bichat6	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Sodium Cholate	Acid	17476666.0	0.0
Bac10	Bichat6	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Sodium Deoxycholate (SDC)	Acid	17476666.0	0.0
Bac10	Bichat7	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.038333810745353206	Rhodamine 6G	Xanthene	16732926.0	0.002290920951025135
Bac10	Bichat7	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.038333810745353206	Tetraphenylphosphonium (TPP)	Quaternary Ammonium Compounds (QACs)	16732926.0	0.002290920951025135
Bac10	Bichat7	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.038333810745353206	Ethidium Bromide	Phenanthridine	16732926.0	0.002290920951025135
Bac10	Bichat7	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.038333810745353206	Sodium Cholate	Acid	16732926.0	0.002290920951025135
Bac10	Bichat7	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.038333810745353206	Sodium Deoxycholate (SDC)	Acid	16732926.0	0.002290920951025135
Bac10	Bichat9	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Rhodamine 6G	Xanthene	17058e3	0.0
Bac10	Bichat9	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Tetraphenylphosphonium (TPP)	Quaternary Ammonium Compounds (QACs)	17058e3	0.0
Bac10	Bichat9	Conventional	kexD	A6TA71	A6TA71_KLEP7	0.0	Ethidium Bromide	Phenanthridine	17058e3	0.0
